Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
129.06,5.49,5,0,0.00244938,0.8
129.16,5.49,5,0,0.000902999,0.8
129.26,5.49,5,0,0.000359553,0.8
122.86,5.39,5,0,0.000486798,0.8
122.96,5.39,5,0,0.0031569,0.8
123.06,5.39,5,0,0.00945995,0.8
123.16,5.39,5,0,0.0261625,0.8
123.26,5.39,5,0,0.067428,0.8
123.36,5.39,5,0,0.157331,0.8
123.46,5.39,5,0,0.334718,0.8
123.56,5.39,5,0,0.650439,0.8
123.66,5.39,5,0,1.15407,0.8
123.76,5.39,5,0,1.87501,0.8
123.86,5.39,5,0,2.80049,0.8
123.96,5.39,5,0,3.86584,0.8
124.06,5.39,5,0,4.96807,0.8
124.16,5.39,5,0,5.99958,0.8
124.26,5.39,5,0,6.88823,0.8
124.36,5.39,5,0,7.6187,0.8
124.46,5.39,5,0,8.22567,0.8
124.56,5.39,5,0,8.77151,0.8
124.66,5.39,5,0,9.31955,0.8
124.76,5.39,5,0,9.91277,0.8
124.86,5.39,5,0,10.5546,0.8
124.96,5.39,5,0,11.1897,0.8
125.06,5.39,5,0,11.6959,0.8
125.16,5.39,5,0,11.9014,0.8
125.26,5.39,5,0,11.6452,0.8
125.36,5.39,5,0,10.8472,0.8
125.46,5.39,5,0,9.57447,0.8
125.56,5.39,5,0,8.06384,0.8
125.66,5.39,5,0,6.68782,0.8
125.76,5.39,5,0,5.90715,0.8
125.86,5.39,5,0,6.20626,0.8
125.96,5.39,5,0,8.02188,0.8
126.06,5.39,5,0,11.6285,0.8
126.16,5.39,5,0,16.996,0.8
126.26,5.39,5,0,23.6409,0.8
126.36,5.39,5,0,30.5974,0.8
126.46,5.39,5,0,36.5976,0.8
126.56,5.39,5,0,40.4466,0.8
126.66,5.39,5,0,41.4476,0.8
126.76,5.39,5,0,39.6673,0.8
126.86,5.39,5,0,35.8867,0.8
126.96,5.39,5,0,31.2669,0.8
127.06,5.39,5,0,26.9014,0.8
127.16,5.39,5,0,23.4592,0.8
127.26,5.39,5,0,21.0643,0.8
127.36,5.39,5,0,19.3949,0.8
127.46,5.39,5,0,17.9298,0.8
127.56,5.39,5,0,16.2129,0.8
127.66,5.39,5,0,14.0255,0.8
127.76,5.39,5,0,11.4376,0.8
127.86,5.39,5,0,8.71425,0.8
127.96,5.39,5,0,6.17435,0.8
128.06,5.39,5,0,4.065,0.8
128.16,5.39,5,0,2.49242,0.8
128.26,5.39,5,0,1.42951,0.8
128.36,5.39,5,0,0.773984,0.8
128.46,5.39,5,0,0.401018,0.8
128.56,5.39,5,0,0.20174,0.8
128.66,5.39,5,0,0.0996211,0.8
128.76,5.39,5,0,0.0487655,0.8
128.86,5.39,5,0,0.0235892,0.8
128.96,5.39,5,0,0.0108405,0.8
129.06,5.39,5,0,0.00473618,0.8
129.16,5.39,5,0,0.00182329,0.8
129.26,5.39,5,0,0.000725879,0.8
122.86,5.29,5,0,0.000499823,0.8
122.96,5.29,5,0,0.00268543,0.8
123.06,5.29,5,0,0.00806496,0.8
123.16,5.29,5,0,0.0223566,0.8
123.26,5.29,5,0,0.0578955,0.8
123.36,5.29,5,0,0.135753,0.8
123.46,5.29,5,0,0.290138,0.8
123.56,5.29,5,0,0.565203,0.8
123.66,5.29,5,0,1.00569,0.8
123.76,5.29,5,0,1.6368,0.8
123.86,5.29,5,0,2.44621,0.8
123.96,5.29,5,0,3.3733,0.8
124.06,5.29,5,0,4.3219,0.8
124.16,5.29,5,0,5.19428,0.8
124.26,5.29,5,0,5.93606,0.8
124.36,5.29,5,0,6.55963,0.8
124.46,5.29,5,0,7.144,0.8
124.56,5.29,5,0,7.80362,0.8
124.66,5.29,5,0,8.64644,0.8
124.76,5.29,5,0,9.7274,0.8
124.86,5.29,5,0,11.0103,0.8
124.96,5.29,5,0,12.3468,0.8
125.06,5.29,5,0,13.488,0.8
125.16,5.29,5,0,14.1395,0.8
125.26,5.29,5,0,14.0601,0.8
125.36,5.29,5,0,13.1584,0.8
125.46,5.29,5,0,11.5515,0.8
125.56,5.29,5,0,9.56729,0.8
125.66,5.29,5,0,7.67095,0.8
125.76,5.29,5,0,6.37915,0.8
125.86,5.29,5,0,6.18804,0.8
125.96,5.29,5,0,7.50061,0.8
126.06,5.29,5,0,10.5573,0.8
126.16,5.29,5,0,15.3098,0.8
126.26,5.29,5,0,21.3055,0.8
126.36,5.29,5,0,27.6636,0.8
126.46,5.29,5,0,33.2188,0.8
126.56,5.29,5,0,36.8592,0.8
126.66,5.29,5,0,37.9112,0.8
126.76,5.29,5,0,36.3878,0.8
126.86,5.29,5,0,32.9595,0.8
126.96,5.29,5,0,28.6566,0.8
127.06,5.29,5,0,24.473,0.8
127.16,5.29,5,0,21.0394,0.8
127.26,5.29,5,0,18.5107,0.8
127.36,5.29,5,0,16.6527,0.8
127.46,5.29,5,0,15.0569,0.8
127.56,5.29,5,0,13.3624,0.8
127.66,5.29,5,0,11.3979,0.8
127.76,5.29,5,0,9.20856,0.8
127.86,5.29,5,0,6.98909,0.8
127.96,5.29,5,0,4.9674,0.8
128.06,5.29,5,0,3.31066,0.8
128.16,5.29,5,0,2.08278,0.8
128.26,5.29,5,0,1.25005,0.8
128.36,5.29,5,0,0.725868,0.8
128.46,5.29,5,0,0.414777,0.8
128.56,5.29,5,0,0.235635,0.8
128.66,5.29,5,0,0.132006,0.8
128.76,5.29,5,0,0.0727228,0.8
128.86,5.29,5,0,0.0378834,0.8
128.96,5.29,5,0,0.0191926,0.8
129.06,5.29,5,0,0.00860534,0.8
129.16,5.29,5,0,0.00383489,0.8
129.26,5.29,5,0,0.00135009,0.8
129.36,5.29,5,0,0.000492347,0.8
122.86,5.19,5,0,0.000469794,0.8
122.96,5.19,5,0,0.00207653,0.8
123.06,5.19,5,0,0.00667135,0.8
123.16,5.19,5,0,0.018957,0.8
123.26,5.19,5,0,0.0485163,0.8
